Reviews,sentiment
كان لي تجربه اكثر من راءعه اليوم في هذا الفرع و الخدمه المقدمه من قبلهم كانت في غايه الروعه الاستاذه ضي و الاستاذ حسين انتم قدوه لشباب الوطن الشغوف اتمناء لكم المزيد من التوفيق والنجاح و شكرا,positive
اسوء خدمه شركه اتصالات علي المستوي العربي كله مو بس السعودي من اول يوم وفيه مشاكل بالنت ولي مايقارب شهور وانا شكوي تلوي الشكوي دون فاءده اهدار للوقت والجهد وعدم احترام للعميل لا يوجد مصداقيه ولا تواصل للاسف اسواء قرار ندمت عليه الا هذه المزيد,negative
اشكر الموظفه ضيء علي تعاملها ورقيها وخدمتها لي بشكل يليق في شركه زين حيث انها مثال للموظف الذي يصلح ان يمثل الشركه وسمعت الشركه انصح بالتعامل مع الموظفه,positive
اسوا نت في العالم عانيت مليون مرررررا منهم رفعت شكاوي مافيه فايده والموظفه ضي ماخدمتني صرفتني لا خدمه ولا نت نجمه كثير عليهم,negative
الفرع جدا ممتاز واشكر الاخوات الموظفات علي رحابتهم وتعاملهم الراقي والسريع,positive
ما انصح احد يطلع من ذي الشركه شبكه النت والتصال من يومه تعباااااانه ورديءه من زمان ولاعمرهم تطورو وكل ما رفعت شكوي يقفلونه من غير حق عشان ماتصدر بعدها لهيءه التصلات المزيد,negative
الشباب في الفرع قمه في التعامل الشركه سيءه جدا من ناحيه التغطيه في الدمام ما انصح بها انتظر انتهاء العقود وبحول علي مشغل ثاني,negative
تواصل ضعيف من قبل الموظفه تركيز الموظفه مو معي ضعف في المعلومات لدي الموظف المزيد,negative
ممتاز والموظفه اسلوبها جدا راقي وسلسه في التعامل,positive
بطء جدا جدا جدا الخبره تكاد شبه معدومه,negative
مافيه الا موظفين ثنين بس وعشواءيه بالمكان بس الموظفين يسوون اللي يقدرون عليه علشان يخدمونك,positive
الموظفين ممتازين ولا فيه تاخير,positive
الموظفه الاسمها ضي قمه الادب والاحترام والرقي,positive
محل خدمات رين الزين فيه ما كان فيه احد,positive
حطيت النجمه عشان اعلق حسبي الله عليك يالموظف ضاع وقتي كله وهو مبرد علي واحد بس والفرع مافيه الا موظف و الموظف قاعد علي واحد له ساعه كامله,negative
فرع سيء للاسف بطيءين جدا في العمل ويتعبون الواحد رحت لهم ابي اخذ شريحه بيانات قالوا السستم عطلان علي هالخدمه وبياخذ وقت طويل ورحت لهم بيوم ثاني قال نفس الكلام المزيد,negative
اشكر جميع الموظفين في الشركه وخصوصا الدمام فرع حي الريان لما لمسته من تعامل راقي وسرعه في انجاز العمل تحياتي لكم وبصحه وسلامه,positive
موظفين اثنين في الفرع واحد يخدم والثاني متكي وحاط رجل ع رجل,negative
التغطيه للشبكه سيءه جدا مقارنه ب اس تي سي ولكن سعر الخدمات رخيص ولكن لايوجد فاءده اذا كان لايوجد تغطيه,negative
مكتوب الفرع مفتوح في الصبح وجيت حصلته مقفل,neutral
تعاملهم راقي والموظفين خدومين جدا,negative
تعامل الموظفين سء جدا بفرع الريان جدا جدا وليس فيهم اي مرونه,negative
لا يوجد به اجهزه موطفين بطيءين وخدمه سيءه معلومات خاطءه,negative
حسبي الله علي من سوا الموقع عليه من الله ما يستحق,negative
مافي محل هنا حسبي الله علي اللي سوا الموقع,negative
ممتاز جدا اشكر الموضفين علي حسن الاخلاق والتعاون,positive
غني عن التعريف لاتعليق,positive
تم نقله,positive
مافي شي,negative
ممتاز,positive
مضلل لا يوجد محلات زين هنا,negative
لا يوجد محل زين في هذا المكان,negative
لا يوجد محل زين هنا يوجد مبني سكني هنا,neutral
لا يوجد متجر هنا,neutral
جميل,positive
غير موجود,negative
راءع,positive
الفرع بالدمام شارع الملك خالد به طاقم عمل مميز ويقدمون خدماتهم بشكل دوري راءع ولديهم رحابه صدر عاليه للعملاء,positive
مكان مرتب و نظيف جدا و استقبال الموظفين غايه في الروعه والجمال و مكانه مميز,positive
شركه ذات خدمه وتعامل رديءه جدا لا يتجاوبون معك علي الاطلاق,negative
فرع ممتاز استقبال الموظف كان ممتاز ماعليه زحمه,positive
كنت جاي زعلان بصراحه لكن اشكر الاخ احمد السالم علي ابتسامته وتعاونه وسعت صدره واخلاقه الطيبه,positive
شركه اتصالات ممتازه و موقعها ممتاز يقدمون كل انواع الخدمات و فب وقت قياسي الخدمات و اخلاق الموظفين ممتازه,positive
اعتقد انها لم تبق سنوات اضافيه بسبب سوء جوده الخدمه و سوء جوده التشغيل اغلاقها سيكون حتمي في القريب ان لم تعمل اعاده هيكله فنيه تسويقيه و خدماتيه,negative
تعامل راقي وتعاون في محله فرع مميز اسال الله لهم التوفيق واخص بالشكر الاخ مشاري علي تعامله الراقي وجعل تجربتي مع زين تجربه اوصي بها وبشده,positive
تعامل الموظف احمد السالم ممتاز جدا,positive
شهاده يسالني عليها الله سبحانه و تعالي انا ندمت اني اشتركت في انترنت زين في الاعلان وفي الحقيقه ولا حتي المزيد,negative
ما شاء الله عليهم الموظفين محترمين جدا وفاهمين شغلهم خصوصا الاخ عبدالسلام,positive
الاثاث مكتبي جوده عاليه و السعر الافضل علي الاطلاف حلول الصوتيات و المرءيات قسم الديكورات و عوازل تقليل الضوضاء لقاعات الاحتفالات و دار عرض السينما,neutral
التقييم علي خدمه الواتساب التعبانه,negative
فرع سيء جدا وفيه موظف بياخد الفلوس وما بيسجلها وبينصب علي العملاء للاسف الشديد وقف جدمه الشريحه واخد ثمن الراوتر كاش وللاسف الشديد ما عطني سند وعطني سند بايقاف الخدمه في نفس الوقت اخد فيها المبلغ وللاسف الشديد بعدها لفتره جاني تعميم ومنع المزيد,negative
للاسف الشديد هذا الفرع فيه موظف حرامي ذهبت لايقاف خط البيانات وقال لازم تدفع ثمن الراوتر وفعلا دفعت كاش ليه جاني رساله بايقاف الخدمه ولاسف الشديد اخد الفلوس كاش ولم يسددها وبعد فتره جاني تعميم سنوات لاسف الشديد بيقولك ما معك سند ياكد المزيد,negative
جبت جهاز صيانه عندهم من يوم اليوم اروح عشان استلم الجهاز يقول انت جيبت استلمه وانا ما استلمت شي والسند عندي,neutral
لاباس ولكن احيانا يتم تصريفك خاصه اذا جيت تاخذ جهاز علي عرض الشركات اشهر علي شان احصل جهاز خدمه العملاء بالتيلفون يقولون موجود الجهاز ولكن لما اوصل الفرع يتم تصريفي بانه لايوجد اجهزه للشركات,neutral
والله سجلوني في فيبر نت بدون علمي حاولت اشتكي في كل المراكز بدون استجابه لماذا بما اني ما استخدمت ولا طلبت لماذ يتم مطالبتي في المبلغ لما لم يحاسبو الذي غلط في تسجيلي في الخدمه,negative
ممتاز جدا وقمه في الزوق,positive
اخذت من عندهم جوال علي نظام العقد انتبهوا من ايفون بلس لا تاخذونه لان خذيته وليس واي حاجه بالسوق,neutral
صار معي مشكله قدمت علي خط نت باقي يوم الي الان لم يتم ارجع المبلغ في حسابي علمنا ان الموظف حكي لي من ايام الي الله المستعان,negative
الفرع كان زحمه مو طبيعي الموظفين اللي عم يساعدو الناس اربعه من اصل سبعه تلت طاولات فاضيه دخلت كان رقمي ستميه و اربعه و ستين و كان رقم العميل يلي عم تتم خدمته خمسميه و اربعه و ستين قريب الميت رقم بدي استني تعامل الموظف كان راقي و محترم و المزيد,positive
عندي مشكله عندهم ولا احد عرف يحلها لا بالدمام ولا بالخفجي ما ادري شو السبب حتي مديرهم بالدمام قلي المشكله من عنا بس ما بيطلع بايدنا شي كموظفين ياريت احد يتواصل معي من ادارتهم,negative
الموظف بندر الخالدي انسان بصراحه ذوق جدا جيت له لتحويل الخط من مشغل الي مشغل اخر وجوالي فاصل شحن ومامعي انترنت ماشاء الله تبارك الله طلع خارج المحل يدور لي ع شاحن واعطاني انترنت من جواله والله احرجني بذوقه وكرمه برجاء تكريمه من مديره وايضا من شركه زين الله يجزاه الجنه يارب,positive
افضل موظف وخدمه سريعه وفاهم وتعامل راقي ونصوح سطام العتيبي شكرا لك,positive
سيءين للغايه للاسف طلب الغاء الخدمه متعب لكن الاشتراك سهل جدا سبب الالغاء هو عدم وجود تغطيه مناسبه كما كان موعد من ممثلين الشركه لا انصح بها ابدا,negative
كموظفين اخلاق رفيعه ولكن يحتاجون الي عدم تحويل العميل للتطبيق لرفع شكوي بحال تواجده بالمقر لديهم,neutral
شكرا للتعامل الممتاز لكن وجود موظف واحد في المكان و انتظارنا بره لين يخلص عميل ويقفل ويفتح مشكله اقلها لو في موظف معه المزيد,positive
للاسف من اسوء فروع تعامل سيء جدا,negative
الفرع صغير جدا فيه تقريبا مكاتب خدمه عملاء لكن الحق يقال سريعين وخدومين جدا وينصحونك بالعرض الممتاز,neutral
هذا الفرع لا يوجد فيه الا موظف واحد من اربعه موظفين وخدمتهم بطيءه وسيءه ولا ننصح به بطء الموظف سببه عدم الاحترافيه وقله التدريب وعدم الاهتمام,negative
النت بطيء جدا و يفصل كل يوم الفرع مفروض يفتح الساعه الصبح والحين صارت ونص وما فتح المحل لسه جيت اكنسل الاشتراك لان الشكاوي تنسحب عليها مافي امل من هالشركه,negative
التعامل باحترام وخدمه جيده,positive
اشتركت ال حق زين وسرعه المفروض مفتوحه بدن حد وقعت عقد لسنتين واعطوني راوتر للاسف الاشتراك هاذ سييء جدا بعد التجربه للاسف لانه السرعه سيءه جدا ولا ترقي ل واذا رحت الشركه تشتكي لا يوجد شيء ممكن تساوي غير انه يقلك افصل ال المزيد,negative
السلام عليكم ياليت تحطون رقم خدمه عملاء رقم حقيقي مانكون نتصل علي جني شريط مسجل يتكلم كثير كثير كثير كثير بدون فايده المزيد,neutral
فيه موظف نصحني نصيحه العمر و ممتاز الموظفين خدمتهم سريعه مره و ما يخليك تطلع الا و انت راضي سعيد اني باغير خدمتي الي زين,positive
الفرع صغير جدا لكن خلصنا الموظف بسرعه جزاه الله كل خير,positive
